S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
286,base_footprint,36,0.020866773271965,-0.006035806168837,2.33710108605928,0.255674475157372,-2.49517979317395,0.004078373198339
287,base_footprint,36,0.020866773271965,-0.006035806168837,2.33710108605928,0.260628120579076,-2.49513937538076,0.00408080806708
288,base_footprint,36,0.019243238425485,-0.004972784214462,2.31884448991117,0.260628120579076,-2.49513937538076,0.00408080806708
289,-,-,-,-,-,0.265583595185281,-2.49509892385317,0.004082699622943
290,-,-,-,-,-,0.270691033252575,-2.49505721915623,0.004084101595861
291,base_footprint,36,0.019243238425485,-0.004972784214462,2.31884448991117,0.270691033252575,-2.49505721915623,0.004084101595861
292,-,-,-,-,-,0.275649752089975,-2.49501672301703,0.004084926813669
293,base_footprint,36,0.021011922022528,-0.00322167058639,2.31897273812525,0.275649752089975,-2.49501672301703,0.004084926813669
294,base_footprint,36,0.021011922022528,-0.00322167058639,2.31897273812525,0.280608952720956,-2.49497622307078,0.004084296618788
295,-,-,-,-,-,0.285716998367241,-2.4949345310917,0.004083514191949
296,base_footprint,36,0.019935531407408,-0.00651175428591,2.29393276454795,0.285716998367241,-2.4949345310917,0.004083514191949
